Time,AccelX,AccelY,AccelZ
12.725,-0.033,-1.844,2.53
12.75,0.085,-1.635,2.001
12.775,0.057,-1.557,2.364
12.8,0.106,-1.384,1.912
12.825,0.126,-1.485,1.876
12.85,0.079,-1.829,1.467
12.875,0.071,-1.518,1.566
12.9,0.069,-1.397,1.599
12.925,0.079,-1.147,1.701
12.95,0.048,-1.145,1.673
12.975,0.063,-1.078,1.653
13,0.057,-1.163,1.49
13.025,0.09,-1.157,1.486
13.05,0.127,-0.828,1.696
13.075,0.088,-0.854,1.597
13.1,0.117,-0.942,1.471
13.125,0.114,-0.831,1.609
13.15,0.139,-0.666,1.529
13.175,0.155,-0.584,1.628
13.2,0.151,-0.522,1.624
13.225,0.13,-0.453,1.671
13.25,0.168,-0.438,1.589
13.275,0.165,-0.403,1.59
13.3,0.174,-0.366,1.605
13.325,0.207,-0.476,1.459
13.35,0.219,-0.356,1.427
13.375,0.17,-0.343,1.495
13.4,0.214,-0.309,1.515
13.425,0.195,-0.361,1.358
13.45,0.2,-0.364,1.465
13.475,0.196,-0.367,1.371
13.5,0.207,-0.307,1.367
13.525,0.234,-0.332,1.398
13.55,0.215,-0.446,1.392
13.575,0.217,-0.364,1.344
13.6,0.257,-0.378,1.371
13.625,0.224,-0.398,1.446
13.65,0.227,-0.351,1.388
13.675,0.239,-0.406,1.442
13.7,0.204,-0.447,1.409
13.725,0.215,-0.253,1.546
13.75,0.209,-0.346,1.505
13.775,0.22,-0.373,1.532
13.8,0.195,-0.366,1.479
13.825,0.209,-0.404,1.548
13.85,0.162,-0.339,1.488
13.875,0.172,-0.325,1.577
13.9,0.156,-0.288,1.554
13.925,0.173,-0.261,1.652
13.95,0.156,-0.183,1.664
13.975,0.137,-0.206,1.701
14,0.105,-0.126,1.679
14.025,0.117,0.029,1.708
14.05,0.129,-0.051,1.754
14.075,0.128,0.028,1.817
14.1,0.104,0.215,1.781
14.125,0.126,0.223,1.836
14.15,0.145,0.301,1.679
14.175,0.103,0.423,1.793
14.2,0.053,0.429,1.78
14.225,0.087,0.604,1.669
14.25,0.083,0.575,1.56
14.275,0.084,0.548,1.631
14.3,0.048,0.674,1.524
14.325,0.048,0.727,1.557
14.35,0.091,0.748,1.579
14.375,0.057,0.833,1.545
14.4,0.054,0.913,1.464
14.425,0.052,0.962,1.448
14.45,0.079,1.074,1.385
14.475,0.087,1.186,1.165
14.5,0.106,1.188,1.034
14.525,0.074,1.151,0.944
14.55,0.117,1.143,1.023
14.575,0.14,1.097,1.082
14.6,0.082,1.136,0.877
14.625,0.142,1.175,0.888
14.65,0.175,1.111,0.984
14.675,0.137,1.117,0.727
14.7,0.192,1.091,0.626
14.725,0.162,1.07,0.661
14.75,0.226,1.034,0.552
14.775,0.258,1.003,0.504
14.8,0.249,0.982,0.441
14.825,0.267,0.871,0.432
14.85,0.289,0.863,0.327
14.875,0.315,0.835,0.319
14.9,0.315,0.772,0.317
14.925,0.358,0.714,0.183
14.95,0.345,0.686,0.23
14.975,0.38,0.621,0.179
15,0.393,0.604,0.179
15.025,0.426,0.547,0.111
15.05,0.443,0.499,0.142
15.075,0.459,0.427,0.138
15.1,0.499,0.415,0.064
15.125,0.518,0.405,0.094
15.15,0.541,0.433,0.098
15.175,0.519,0.46,0.124
15.2,0.541,0.439,0.13
15.225,0.559,0.433,0.139
15.25,0.588,0.454,0.078
15.275,0.568,0.509,0.118
15.3,0.598,0.46,0.008
15.325,0.602,0.51,0.026
15.35,0.594,0.521,0.027
15.375,0.595,0.505,-0.027
15.4,0.572,0.586,-0.054
15.425,0.573,0.671,-0.049
15.45,0.549,0.656,-0.203
15.475,0.576,0.714,-0.263
15.5,0.54,0.794,-0.238
15.525,0.511,0.794,-0.303
15.55,0.55,0.885,-0.548
15.575,0.529,0.962,-0.542
15.6,0.492,1.057,-0.602
15.625,0.496,0.96,-0.726
15.65,0.449,1.075,-0.931
15.675,0.391,1.122,-1.142
15.7,0.447,1.337,-1.003
15.725,0.437,1.362,-1.26
15.75,0.325,1.335,-1.189
15.775,0.337,1.249,-1.691
15.8,0.339,1.888,-1.155
15.825,0.297,1.503,-1.684
15.851,0.205,1.549,-1.571
15.875,0.253,1.902,-1.518
15.9,0.121,1.508,-1.706
15.925,0.278,1.868,-1.962
