,Time,AccelX,AccelY,AccelZ,AccelX_G,,,,,,,,,,,,,,,,,
63907,1.175,-85.967,-0.763,-1.687,-8.772142857,,,,,,,,,,,,,,,,,
63908,1.2,-87.036,-0.62,-1.534,-8.88122449,,,,,,,,,,,,,,,,,
63909,1.225,-88.922,-0.492,-1.407,-9.073673469,,,,,,,,,,,,,,,,,
63910,1.25,-90.716,-0.745,-1.015,-9.256734694,,,,,,,,,,,,,,,,,
63911,1.275,-88.948,-0.838,-2.069,-9.076326531,,,,,,,,,,,,,,,,,
63912,1.3,-88.024,-0.554,-1.396,-8.982040816,,,,,,,,,,,,,,,,,
63913,1.325,-88.87,0.133,-1.551,-9.068367347,,,,,,,,,,,,,,,,,
63914,1.35,-89.571,0.528,-1.403,-9.139897959,,,,,,,,,,,,,,,,,
63915,1.375,-90.292,0.44,-1.276,-9.213469388,,,,,,,,,,,,,,,,,
63916,1.4,-90.789,0.804,-1.874,-9.264183673,,,,,,,,,,,,,,,,,
63917,1.425,-90.951,0.984,-2.38,-9.280714286,,,,,,,,,,,,,,,,,
63918,1.45,-91.264,1.317,-2.151,-9.312653061,,,,,,,,,,,,,,,,,
63919,1.475,-91.65,1.587,-1.029,-9.352040816,,,,,,,,,,,,,,,,,
63920,1.5,-91.552,1.531,-0.984,-9.342040816,,,,,,,,,,,,,,,,,
63921,1.525,-91.834,1.323,-1.847,-9.370816327,,,,,,,,,,,,,,,,,
63922,1.55,-92.466,1.056,-0.729,-9.435306122,,,,,,,,,,,,,,,,,
63923,1.575,-93.171,1.732,-0.13,-9.507244898,,,,,,,,,,,,,,,,,
63924,1.6,-93.562,1.521,-0.224,-9.547142857,,,,,,,,,,,,,,,,,
63925,1.625,-93.889,2.032,-0.152,-9.580510204,,,,,,,,,,,,,,,,,
63926,1.65,-94.303,2.027,-0.152,-9.622755102,,,,,,,,,,,,,,,,,
63927,1.675,-94.838,1.759,0.016,-9.677346939,,,,,,,,,,,,,,,,,
63928,1.7,-95.487,3.083,0.87,-9.743571429,,,,,,,,,,,,,,,,,
63929,1.725,-95.409,3.259,-0.045,-9.735612245,,,,,,,,,,,,,,,,,
63930,1.75,-95.226,3.08,0.09,-9.716938776,,,,,,,,,,,,,,,,,
63931,1.775,-95.214,3.244,0.748,-9.715714286,,,,,,,,,,,,,,,,,
63932,1.8,-95.161,3.369,1.159,-9.710306122,,,,,,,,,,,,,,,,,
63933,1.825,-96.248,3.533,1.275,-9.82122449,,,,,,,,,,,,,,,,,
63934,1.85,-95.648,3.488,1.701,-9.76,,,,,,,,,,,,,,,,,
63935,1.875,-96.631,3.596,1.406,-9.860306122,,,,,,,,,,,,,,,,,
63936,1.9,-96.068,3.094,1.449,-9.802857143,,,,,,,,,,,,,,,,,
63937,1.925,-96.94,2.859,1.437,-9.891836735,,,,,,,,,,,,,,,,,
63938,1.95,-97.753,2.527,1.086,-9.974795918,,,,,,,,,,,,,,,,,
63939,1.975,-97.494,2.286,0.881,-9.948367347,,,,,,,,,,,,,,,,,
63940,2,-99.541,2.632,1.105,-10.1572449,,,,,,,,,,,,,,,,,
63941,2.025,-100.151,0.452,1.185,-10.2194898,,,,,,,,,,,,,,,,,
63942,2.05,-98.444,0.808,-0.21,-10.04530612,,,,,,,,,,,,,,,,,
63943,2.075,-98.603,1.795,0.353,-10.06153061,,,,,,,,,,,,,,,,,
63944,2.1,-97.871,2.793,-0.197,-9.986836735,,,,,,,,,,,,,,,,,
63945,2.125,-98.19,2.001,-0.45,-10.01938776,,,,,,,,,,,,,,,,,
63946,2.15,-99.144,1.778,0.477,-10.11673469,,,,,,,,,,,,,,,,,
63947,2.175,-99.08,2.645,-0.171,-10.11020408,,,,,,,,,,,,,,,,,
63948,2.2,-99.506,1.86,-0.622,-10.15367347,,,,,,,,,,,,,,,,,
63949,2.225,-99.91,2.634,1.004,-10.19489796,,,,,,,,,,,,,,,,,
63950,2.25,-100.646,2.988,1.747,-10.27,,,,,,,,,,,,,,,,,
63951,2.275,-100.512,2.941,0.654,-10.25632653,,,,,,,,,,,,,,,,,
63952,2.3,-100.608,3.212,1.326,-10.26612245,,,,,,,,,,,,,,,,,
63953,2.325,-100.909,3.455,2.215,-10.29683673,,,,,,,,,,,,,,,,,
63954,2.35,-101.525,4.278,1.417,-10.35969388,,,,,,,,,,,,,,,,,
63955,2.375,-101.179,3.703,1.625,-10.32438776,,,,,,,,,,,,,,,,,
63956,2.4,-101.823,3.644,1.714,-10.39010204,,,,,,,,,,,,,,,,,
63957,2.425,-101.839,3.688,2.252,-10.39173469,,,,,,,,,,,,,,,,,
63958,2.45,-102.28,4.183,2.635,-10.43673469,,,,,,,,,,,,,,,,,
63959,2.475,-103.786,2.296,2.171,-10.59040816,,,,,,,,,,,,,,,,,
63960,2.5,-102.163,4.128,1.547,-10.42479592,,,,,,,,,,,,,,,,,
63961,2.525,-102.307,3.618,1.344,-10.4394898,,,,,,,,,,,,,,,,,
63962,2.55,-102.368,2.862,0.346,-10.44571429,,,,,,,,,,,,,,,,,
63963,2.575,-102.199,2.764,0.677,-10.42846939,,,,,,,,,,,,,,,,,
63964,2.6,-101.905,2.978,1.932,-10.39846939,,,,,,,,,,,,,,,,,
63965,2.625,-102.963,2.736,4.571,-10.50642857,,,,,,,,,,,,,,,,,
63966,2.65,-102.283,2.81,1.945,-10.43704082,,,,,,,,,,,,,,,,,
63967,2.675,-102.507,3.348,-0.818,-10.45989796,,,,,,,,,,,,,,,,,
63968,2.7,-102.196,3.508,1.806,-10.42816327,,,,,,,,,,,,,,,,,
63969,2.725,-102.89,3.156,2.642,-10.49897959,,,,,,,,,,,,,,,,,
63970,2.75,-105.447,3.938,1.848,-10.75989796,,,,,,,,,,,,,,,,,
63971,2.775,-106.603,2.909,2.312,-10.87785714,,,,,,,,,,,,,,,,,
63972,2.8,-103.433,4.909,4.477,-10.55438776,,,,,,,,,,,,,,,,,
63973,2.825,-101.936,3.8,4.214,-10.40163265,,,,,,,,,,,,,,,,,
63974,2.85,-101.914,3.423,3.997,-10.39938776,,,,,,,,,,,,,,,,,
63975,2.875,-102.194,2.935,2.75,-10.42795918,,,,,,,,,,,,,,,,,
63976,2.9,-101.585,5.857,4.594,-10.36581633,,,,,,,,,,,,,,,,,
63977,2.925,-103.022,5.747,4.681,-10.51244898,,,,,,,,,,,,,,,,,
63978,2.95,-101.155,6.714,5.265,-10.32193878,,,,,,,,,,,,,,,,,
63979,2.975,-99.228,5.817,4.591,-10.12530612,,,,,,,,,,,,,,,,,
63980,3,-98.829,6.243,5.344,-10.08459184,,,,,,,,,,,,,,,,,
63981,3.025,-99.391,5.078,4.126,-10.14193878,,,,,,,,,,,,,,,,,
63982,3.05,-97.068,6.215,2.594,-9.904897959,,,,,,,,,,,,,,,,,
63983,3.075,-96.479,6.651,3.914,-9.844795918,,,,,,,,,,,,,,,,,
63984,3.1,-95.498,5.769,5.429,-9.744693878,,,,,,,,,,,,,,,,,
63985,3.125,-96.277,6.594,6.12,-9.824183673,,,,,,,,,,,,,,,,,
63986,3.15,-95.211,6.756,4.317,-9.715408163,,,,,,,,,,,,,,,,,
63987,3.175,-99.316,5.077,4.346,-10.13428571,,,,,,,,,,,,,,,,,
63988,3.2,-93.039,6.345,1.505,-9.49377551,,,,,,,,,,,,,,,,,
63989,3.225,-91.689,6.599,2.416,-9.356020408,,,,,,,,,,,,,,,,,
63990,3.25,-91.46,4.821,3.232,-9.332653061,,,,,,,,,,,,,,,,,
63991,3.275,-91.169,5.697,3.676,-9.302959184,,,,,,,,,,,,,,,,,
63992,3.3,-90.845,4.36,3.708,-9.269897959,,,,,,,,,,,,,,,,,
63993,3.325,-90.886,4.077,6.092,-9.274081633,,,,,,,,,,,,,,,,,
63994,3.35,-94.766,8.186,3.803,-9.67,,,,,,,,,,,,,,,,,
63995,3.375,-91.791,6.16,2.898,-9.366428571,,,,,,,,,,,,,,,,,
63996,3.4,-88.388,6.51,1.788,-9.019183673,,,,,,,,,,,,,,,,,
63997,3.425,-87.292,6.045,4.014,-8.907346939,,,,,,,,,,,,,,,,,
63998,3.45,-86.349,5.834,5.033,-8.811122449,,,,,,,,,,,,,,,,,
63999,3.475,-85.039,4.647,5.359,-8.67744898,,,,,,,,,,,,,,,,,
64000,3.5,-85.582,7.341,4.698,-8.732857143,,,,,,,,,,,,,,,,,
64001,3.525,-84.865,4.145,5.857,-8.659693878,,,,,,,,,,,,,,,,,
64002,3.55,-87.616,5.227,5.655,-8.940408163,,,,,,,,,,,,,,,,,
64003,3.575,-82.973,5.16,7.551,-8.466632653,,,,,,,,,,,,,,,,,
64004,3.6,-82.695,5.882,7.713,-8.438265306,,,,,,,,,,,,,,,,,
64005,3.625,-82.382,7.294,7.355,-8.406326531,,,,,,,,,,,,,,,,,
64006,3.65,-81.57,3.816,6.148,-8.323469388,,,,,,,,,,,,,,,,,
64007,3.675,-80.35,5.308,6.646,-8.198979592,,,,,,,,,,,,,,,,,
64008,3.7,-78.711,6.454,5.85,-8.031734694,,,,,,,,,,,,,,,,,
